p1,p2,repetition,p1_total,p2_total
grok3_Think-LLM,claude3_opus-LLM,1,23,38
grok3_Think-LLM,claude3_opus-LLM,2,27,42
grok3_Think-LLM,claude3_opus-LLM,3,31,41
grok3_Think-LLM,claude3_opus-LLM,4,24,34
grok3_Think-LLM,claude3_opus-LLM,5,23,38
grok3_Think-LLM,claude3_opus-LLM,6,33,43
grok3_Think-LLM,claude3_opus-LLM,7,25,30
grok3_Think-LLM,claude3_opus-LLM,8,24,34
grok3_Think-LLM,claude3_opus-LLM,9,25,30
grok3_Think-LLM,claude3_opus-LLM,10,24,54
grok3_Think-LLM,deepseek-LLM,1,44,49
grok3_Think-LLM,deepseek-LLM,2,33,38
grok3_Think-LLM,deepseek-LLM,3,48,58
grok3_Think-LLM,deepseek-LLM,4,36,41
grok3_Think-LLM,deepseek-LLM,5,29,39
grok3_Think-LLM,deepseek-LLM,6,57,62
grok3_Think-LLM,deepseek-LLM,7,55,60
grok3_Think-LLM,deepseek-LLM,8,60,60
grok3_Think-LLM,deepseek-LLM,9,60,60
grok3_Think-LLM,deepseek-LLM,10,42,47
grok3_Think-LLM,gemini-LLM,1,60,60
grok3_Think-LLM,gemini-LLM,2,60,60
grok3_Think-LLM,gemini-LLM,3,60,60
grok3_Think-LLM,gemini-LLM,4,60,60
grok3_Think-LLM,gemini-LLM,5,60,60
grok3_Think-LLM,gemini-LLM,6,60,60
grok3_Think-LLM,gemini-LLM,7,60,60
grok3_Think-LLM,gemini-LLM,8,60,60
grok3_Think-LLM,gemini-LLM,9,60,60
grok3_Think-LLM,gemini-LLM,10,60,60
grok3_Think-LLM,gpt4o-LLM,1,60,60
grok3_Think-LLM,gpt4o-LLM,2,60,60
grok3_Think-LLM,gpt4o-LLM,3,60,60
grok3_Think-LLM,gpt4o-LLM,4,60,60
grok3_Think-LLM,gpt4o-LLM,5,60,60
grok3_Think-LLM,gpt4o-LLM,6,60,60
grok3_Think-LLM,gpt4o-LLM,7,60,60
grok3_Think-LLM,gpt4o-LLM,8,60,60
grok3_Think-LLM,gpt4o-LLM,9,60,60
grok3_Think-LLM,gpt4o-LLM,10,60,60
grok3_Think-LLM,grok3-LLM,1,60,60
grok3_Think-LLM,grok3-LLM,2,60,60
grok3_Think-LLM,grok3-LLM,3,60,60
grok3_Think-LLM,grok3-LLM,4,60,60
grok3_Think-LLM,grok3-LLM,5,60,60
grok3_Think-LLM,grok3-LLM,6,60,60
grok3_Think-LLM,grok3-LLM,7,60,60
grok3_Think-LLM,grok3-LLM,8,60,60
grok3_Think-LLM,grok3-LLM,9,60,60
grok3_Think-LLM,grok3-LLM,10,60,60
o3-LLM,DeepSeek_R1-LLM,1,60,60
o3-LLM,DeepSeek_R1-LLM,2,60,60
o3-LLM,DeepSeek_R1-LLM,3,60,60
o3-LLM,DeepSeek_R1-LLM,4,60,60
o3-LLM,DeepSeek_R1-LLM,5,60,60
o3-LLM,DeepSeek_R1-LLM,6,60,60
o3-LLM,DeepSeek_R1-LLM,7,60,60
o3-LLM,DeepSeek_R1-LLM,8,60,60
o3-LLM,DeepSeek_R1-LLM,9,60,60
o3-LLM,DeepSeek_R1-LLM,10,60,60
o3-LLM,Gemini_2.5Pro-LLM,1,60,60
o3-LLM,Gemini_2.5Pro-LLM,2,57,57
o3-LLM,Gemini_2.5Pro-LLM,3,57,62
o3-LLM,Gemini_2.5Pro-LLM,4,56,61
o3-LLM,Gemini_2.5Pro-LLM,5,56,61
o3-LLM,Gemini_2.5Pro-LLM,6,54,59
o3-LLM,Gemini_2.5Pro-LLM,7,60,60
o3-LLM,Gemini_2.5Pro-LLM,8,60,60
o3-LLM,Gemini_2.5Pro-LLM,9,54,59
o3-LLM,Gemini_2.5Pro-LLM,10,56,61
o3-LLM,claude3-LLM,1,57,62
o3-LLM,claude3-LLM,2,53,58
o3-LLM,claude3-LLM,3,57,62
o3-LLM,claude3-LLM,4,57,62
o3-LLM,claude3-LLM,5,57,62
o3-LLM,claude3-LLM,6,56,61
o3-LLM,claude3-LLM,7,57,62
o3-LLM,claude3-LLM,8,57,62
o3-LLM,claude3-LLM,9,57,62
o3-LLM,claude3-LLM,10,55,55
o3-LLM,claude3_opus-LLM,1,21,46
o3-LLM,claude3_opus-LLM,2,24,34
o3-LLM,claude3_opus-LLM,3,28,38
o3-LLM,claude3_opus-LLM,4,27,57
o3-LLM,claude3_opus-LLM,5,26,46
o3-LLM,claude3_opus-LLM,6,28,48
o3-LLM,claude3_opus-LLM,7,27,42
o3-LLM,claude3_opus-LLM,8,29,49
o3-LLM,claude3_opus-LLM,9,25,50
o3-LLM,claude3_opus-LLM,10,21,56
o3-LLM,deepseek-LLM,1,52,62
o3-LLM,deepseek-LLM,2,57,62
o3-LLM,deepseek-LLM,3,57,57
o3-LLM,deepseek-LLM,4,54,54
o3-LLM,deepseek-LLM,5,60,60
o3-LLM,deepseek-LLM,6,60,60
o3-LLM,deepseek-LLM,7,55,60
o3-LLM,deepseek-LLM,8,57,62
o3-LLM,deepseek-LLM,9,54,59
o3-LLM,deepseek-LLM,10,60,60
o3-LLM,gemini-LLM,1,60,60
o3-LLM,gemini-LLM,2,60,60
o3-LLM,gemini-LLM,3,60,60
o3-LLM,gemini-LLM,4,60,60
o3-LLM,gemini-LLM,5,60,60
o3-LLM,gemini-LLM,6,60,60
o3-LLM,gemini-LLM,7,60,60
o3-LLM,gemini-LLM,8,60,60
o3-LLM,gemini-LLM,9,60,60
o3-LLM,gemini-LLM,10,60,60
o3-LLM,gpt4o-LLM,1,60,60
o3-LLM,gpt4o-LLM,2,60,60
o3-LLM,gpt4o-LLM,3,60,60
o3-LLM,gpt4o-LLM,4,60,60
o3-LLM,gpt4o-LLM,5,60,60
o3-LLM,gpt4o-LLM,6,60,60
o3-LLM,gpt4o-LLM,7,60,60
o3-LLM,gpt4o-LLM,8,60,60
o3-LLM,gpt4o-LLM,9,60,60
o3-LLM,gpt4o-LLM,10,60,60
o3-LLM,grok3-LLM,1,60,60
o3-LLM,grok3-LLM,2,60,60
o3-LLM,grok3-LLM,3,60,60
o3-LLM,grok3-LLM,4,60,60
o3-LLM,grok3-LLM,5,60,60
o3-LLM,grok3-LLM,6,60,60
o3-LLM,grok3-LLM,7,60,60
o3-LLM,grok3-LLM,8,60,60
o3-LLM,grok3-LLM,9,60,60
o3-LLM,grok3-LLM,10,60,60
o3-LLM,grok3_Think-LLM,1,60,60
o3-LLM,grok3_Think-LLM,2,60,60
o3-LLM,grok3_Think-LLM,3,60,60
o3-LLM,grok3_Think-LLM,4,60,60
o3-LLM,grok3_Think-LLM,5,60,60
o3-LLM,grok3_Think-LLM,6,60,60
o3-LLM,grok3_Think-LLM,7,60,60
o3-LLM,grok3_Think-LLM,8,60,60
o3-LLM,grok3_Think-LLM,9,60,60
o3-LLM,grok3_Think-LLM,10,60,60
